benua,negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afrika,Afrika Lainnya,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Afrika,Afrika Selatan,NA,1190,NA,NA,500,69.1,981.5,4291.6,5369.4,400.4,78.3,1459,451.5,10602.7,2165.7
Afrika,Aljazair,NA,NA,NA,NA,NA,0,400,0,0,0,0,0,15.1,388.4,93.5
Afrika,Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Afrika,Burkina Faso,NA,NA,NA,NA,200,300,0,410.8,0,0,0,NA,NA,NA,NA
Afrika,Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5833.3,7421.1
Afrika,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,NA,180.6,0,2.9,109
Afrika,Gambia,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrika,Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,108.2,51.7
Afrika,Guinea,NA,NA,NA,NA,500,100,200,1500,0,0,0,NA,NA,31.7,35.4
Afrika,Guinea Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.6
Afrika,Jibouti Rep.,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.7,NA,NA,2,NA
Afrika,Kamerun,NA,NA,NA,NA,NA,200,475,156.5,0,0,15.6,0,1.4,12.2,45
Afrika,Kenya,NA,NA,NA,NA,650,0,200,100,0,3.3,5.4,NA,728.2,198,0
Afrika,Kongo,NA,NA,NA,NA,500,0,NA,150,0,0,0,0,NA,NA,NA
Afrika,Liberia,23.6,365.3,6.6,199.2,NA,0,296.3,157.3,0,93.3,0,NA,1010.5,6.2,0.8
