"format","tahun","pendapatan","pendapatan_infl"
"CD",1983-01-01,17.2,52.6
"CD",1984-01-01,103.3,302.9
"CD",1985-01-01,389.5,1103
"CD",1986-01-01,930.1,2585.8
"CD",1987-01-01,1593.6,4274.4
"CD",1988-01-01,2089.9,5382.9
"CD",1989-01-01,2587.7,6358.7
"CD",1990-01-01,3451.6,8046.7
"CD",1991-01-01,4337.7,9704.2
"CD",1992-01-01,5326.5,11568
"CD",1993-01-01,6511.4,13730.4
"CD",1994-01-01,8464.5,17403.2
"CD",1995-01-01,9377.4,18748.8
"CD",1996-01-01,9934.7,19293.3
"CD",1997-01-01,9915.1,18823.4
"CD",1998-01-01,11416,21340.4
"CD",1999-01-01,12816.3,23440.3
"CD",2000-01-01,13214.5,23382.6
"CD",2001-01-01,12909.4,22210.7
"CD",2002-01-01,12044.1,20399.5
"CD",2003-01-01,11232.9,18601.6
"CD",2004-01-01,11446.5,18463.6
"CD",2005-01-01,10520.2,16413.3
"CD",2006-01-01,9372.6,14165.9
"CD",2007-01-01,7452.3,10951.6
"CD",2008-01-01,5471.3,7743.1
"CD",2009-01-01,4318.8,6133.9
"CD",2010-01-01,3389.4,4736.2
"CD",2011-01-01,3100.7,4200.2
"CD",2012-01-01,2485.6,3298.7
"CD",2013-01-01,2140.9,2800.3
"CD",2014-01-01,1776.2,2286.2
"CD",2015-01-01,1445,1857.6
"CD",2016-01-01,1130.8,1435.6
"CD",2017-01-01,1043.9,1297.7
"CD",2018-01-01,695.8,844.3
"CD",2019-01-01,636.7,758.8
"CD",2020-01-01,473.9,557.9
"CD",2021-01-01,585.8,658.7
"CD",2022-01-01,482.6,502.4
"CD",2023-01-01,537.1,537.1
"CD Single",1988-01-01,9.8,25.2
"CD Single",1989-01-01,-0.7,-1.7
"CD Single",1990-01-01,6,14
"CD Single",1991-01-01,35.1,78.5
"CD Single",1992-01-01,45.1,97.9
"CD Single",1993-01-01,45.8,96.6
"CD Single",1994-01-01,56.1,115.3
"CD Single",1995-01-01,110.9,221.7
"CD Single",1996-01-01,184.1,357.5
"CD Single",1997-01-01,272.7,517.7
"CD Single",1998-01-01,213.2,398.5
"CD Single",1999-01-01,222.4,406.8
"CD Single",2000-01-01,142.7,252.5
"CD Single",2001-01-01,79.4,136.6
"CD Single",2002-01-01,19.6,33.2
"CD Single",2003-01-01,36,59.6
"8 - Track",1973-01-01,489,3355.8
"8 - Track",1974-01-01,549.2,3394.4
"8 - Track",1975-01-01,583,3301.9
"8 - Track",1976-01-01,678.2,3631.8
"8 - Track",1977-01-01,811,4077.8
"8 - Track",1978-01-01,948,4430.3
"8 - Track",1979-01-01,684.3,2872
"8 - Track",1980-01-01,527,1948.8
"8 - Track",1981-01-01,313,1049.2
"8 - Track",1982-01-01,36,113.7
"CD Single",2004-01-01,15,24.2
"CD Single",2005-01-01,10.9,17
"CD Single",2006-01-01,7.7,11.6
"CD Single",2007-01-01,12.2,17.9
"CD Single",2008-01-01,3.5,5
"CD Single",2009-01-01,3.1,4.4
"CD Single",2010-01-01,2.9,4.1
"CD Single",2011-01-01,3.5,4.7
"CD Single",2012-01-01,3.2,4.3
"CD Single",2013-01-01,2.4,3.2
"CD Single",2014-01-01,3.6,4.7
"CD Single",2015-01-01,1.2,1.5
"CD Single",2016-01-01,0.3,0.3
"CD Single",2017-01-01,0.2,0.2
"CD Single",2018-01-01,0,0
"CD Single",2019-01-01,0.1,0.1
"CD Single",2020-01-01,0.4,0.4
"CD Single",2021-01-01,0.1,0.1
"CD Single",2022-01-01,6.8,7.1
"Cassette",1973-01-01,76,521.6
"Cassette",1974-01-01,87.2,538.9
"Cassette",1975-01-01,98.8,559.6
"Cassette",1976-01-01,145.7,780.2
"Cassette",1977-01-01,249.6,1255
"Cassette",1978-01-01,449.8,2102.1
"Cassette",1979-01-01,580.6,2436.8
"Cassette",1980-01-01,705,2607
"Cassette",1981-01-01,1062.8,3562.6
"Cassette",1982-01-01,1384.5,4371.6
"Cassette",1983-01-01,1810.9,5540
"Cassette",1984-01-01,2383.9,6991.1
"Cassette",1985-01-01,2411.5,6828.9
"Cassette",1986-01-01,2499.5,6948.9
"Cassette",1987-01-01,2959.7,7938.6
"Cassette",1988-01-01,3385.1,8718.9
"Cassette",1989-01-01,3345.8,8221.5
"Cassette",1990-01-01,3472.4,8095.2
"Cassette",1991-01-01,3019.6,6755.3
"Cassette",1992-01-01,3116.3,6767.9
"Cassette",1993-01-01,2915.8,6148.4
"Cassette",1994-01-01,2976.4,6119.5
"Cassette",1995-01-01,2303.6,4605.7
"Cassette",1996-01-01,1905.3,3700.1
"Cassette",1997-01-01,1522.7,2890.8
"Cassette",1998-01-01,1419.9,2654.3
"Cassette",1999-01-01,1061.6,1941.6
"Cassette",2000-01-01,626,1107.7
"Cassette",2001-01-01,363.4,625.2
"Cassette",2002-01-01,209.8,355.3
"Cassette",2003-01-01,108.1,179
"Cassette",2004-01-01,23.7,38.2
"Cassette",2005-01-01,13.1,20.4
"Cassette",2006-01-01,3.7,5.6
"Cassette",2007-01-01,3,4.4
"Cassette",2008-01-01,0.9,1.3
"Cassette Single",1987-01-01,14.3,38.4
"Cassette Single",1988-01-01,57.3,147.6
"Cassette Single",1989-01-01,194.6,478.2
"Cassette Single",1990-01-01,257.9,601.2
"Cassette Single",1991-01-01,230.4,515.4
"Cassette Single",1992-01-01,298.8,648.9
"Cassette Single",1993-01-01,298.5,629.4
"Cassette Single",1994-01-01,274.9,565.2
"Cassette Single",1995-01-01,236.3,472.4
"Cassette Single",1996-01-01,189.3,367.6
"Cassette Single",1997-01-01,133.5,253.4
"Cassette Single",1998-01-01,94.4,176.5
"Cassette Single",1999-01-01,48,87.8
"Cassette Single",2000-01-01,4.6,8.1
"Cassette Single",2001-01-01,-5.3,-9.1
"Cassette Single",2002-01-01,-1.6,-2.7
"DVD Audio",2001-01-01,6,10.3
"DVD Audio",2002-01-01,8.5,14.4
"DVD Audio",2003-01-01,8,13.2
"DVD Audio",2004-01-01,6.5,10.5
"DVD Audio",2005-01-01,11.2,17.5
"DVD Audio",2006-01-01,2.4,3.6
"DVD Audio",2007-01-01,2.8,4.1
"DVD Audio",2008-01-01,1.2,1.7
"DVD Audio",2009-01-01,1.6,2.3
"DVD Audio",2010-01-01,0.9,1.3
"DVD Audio",2011-01-01,0.3,0.4
"DVD Audio",2012-01-01,0.2,0.2
"DVD Audio",2013-01-01,-0.5,-0.6
"DVD Audio",2014-01-01,2.1,2.8
"DVD Audio",2015-01-01,5.4,7
"DVD Audio",2016-01-01,2.8,3.6
"DVD Audio",2017-01-01,0.3,0.4
"DVD Audio",2018-01-01,0.3,0.4
"DVD Audio",2019-01-01,1.3,1.5
"DVD Audio",2020-01-01,1.8,2.2
"DVD Audio",2021-01-01,5.8,6.5
"DVD Audio",2022-01-01,0.1,0.1
"Download Album",2004-01-01,45.5,73.4
"Download Album",2005-01-01,135.7,211.7
"Download Album",2006-01-01,275.9,417
"Download Album",2007-01-01,497.4,731
"Download Album",2008-01-01,635.3,899.1
"Download Album",2009-01-01,744.3,1057.1
"Download Album",2010-01-01,872.4,1219.1
"Download Album",2011-01-01,1070.8,1450.5
"Download Album",2012-01-01,1204.8,1599
"Download Album",2013-01-01,1232.1,1611.6
"Download Album",2014-01-01,1117.9,1438.8
"Download Album",2015-01-01,1064.4,1368.4
"Download Album",2016-01-01,868.6,1102.7
"Download Album",2017-01-01,649.7,807.7
"Download Album",2018-01-01,495.3,601
"Download Album",2019-01-01,368.5,439.2
"Download Album",2020-01-01,319.3,375.9
"Download Album",2021-01-01,303.3,341
"Download Album",2022-01-01,241.9,251.8
"Download Album",2023-01-01,204.7,204.7
"Download Music Video",2005-01-01,3.7,5.8
"Download Music Video",2006-01-01,19.7,29.8
"Download Music Video",2007-01-01,28.2,41.4
"Download Music Video",2008-01-01,41.3,58.4
"Download Music Video",2009-01-01,40.9,58.1
"Download Music Video",2010-01-01,36.6,51.1
"Download Music Video",2011-01-01,32.4,43.9
"Download Music Video",2012-01-01,20.8,27.7
"Download Music Video",2013-01-01,16.7,21.9
"Download Music Video",2014-01-01,13.6,17.5
"Download Music Video",2015-01-01,6.4,8.2
"Download Music Video",2016-01-01,4.3,5.4
"Download Music Video",2017-01-01,2.8,3.5
"Download Music Video",2018-01-01,2.2,2.7
"Download Music Video",2019-01-01,1.9,2.2
"Download Music Video",2020-01-01,1.8,2.1
"Download Music Video",2021-01-01,1.9,2.2
"Download Music Video",2022-01-01,1.3,1.4
