Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1973,3355.8," (adjusted for inflation, 2023 dollars)",$3.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1974,3394.4," (adjusted for inflation, 2023 dollars)",$3.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1975,3301.9," (adjusted for inflation, 2023 dollars)",$3.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1976,3631.8," (adjusted for inflation, 2023 dollars)",$3.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1977,4077.8," (adjusted for inflation, 2023 dollars)",$4.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1978,4430.3," (adjusted for inflation, 2023 dollars)",$4.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1979,2872," (adjusted for inflation, 2023 dollars)",$2.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1980,1948.8," (adjusted for inflation, 2023 dollars)",$1.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1981,1049.2," (adjusted for inflation, 2023 dollars)",$1.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",8 - Track,Value (Adjusted),1982,113.7," (adjusted for inflation, 2023 dollars)",,$113.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1983,52.6," (adjusted for inflation, 2023 dollars)",,$52.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1984,302.9," (adjusted for inflation, 2023 dollars)",,$302.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1985,1103," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1986,2585.8," (adjusted for inflation, 2023 dollars)",$2.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1987,4274.4," (adjusted for inflation, 2023 dollars)",$4.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1988,5382.9," (adjusted for inflation, 2023 dollars)",$5.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1989,6358.7," (adjusted for inflation, 2023 dollars)",$6.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1990,8046.7," (adjusted for inflation, 2023 dollars)",$8.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1991,9704.2," (adjusted for inflation, 2023 dollars)",$9.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1992,11568," (adjusted for inflation, 2023 dollars)",$11.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1993,13730.4," (adjusted for inflation, 2023 dollars)",$13.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1994,17403.2," (adjusted for inflation, 2023 dollars)",$17.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1995,18748.8," (adjusted for inflation, 2023 dollars)",$18.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1996,19293.3," (adjusted for inflation, 2023 dollars)",$19.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1997,18823.4," (adjusted for inflation, 2023 dollars)",$18.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1998,21340.4," (adjusted for inflation, 2023 dollars)",$21.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),1999,23440.3," (adjusted for inflation, 2023 dollars)",$23.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2000,23382.6," (adjusted for inflation, 2023 dollars)",$23.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2001,22210.7," (adjusted for inflation, 2023 dollars)",$22.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2002,20399.5," (adjusted for inflation, 2023 dollars)",$20.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2003,18601.6," (adjusted for inflation, 2023 dollars)",$18.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2004,18463.6," (adjusted for inflation, 2023 dollars)",$18.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2005,16413.3," (adjusted for inflation, 2023 dollars)",$16.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2006,14165.9," (adjusted for inflation, 2023 dollars)",$14.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2007,10951.6," (adjusted for inflation, 2023 dollars)",$11.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2008,7743.1," (adjusted for inflation, 2023 dollars)",$7.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2009,6133.9," (adjusted for inflation, 2023 dollars)",$6.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2010,4736.2," (adjusted for inflation, 2023 dollars)",$4.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2011,4200.2," (adjusted for inflation, 2023 dollars)",$4.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2012,3298.7," (adjusted for inflation, 2023 dollars)",$3.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2013,2800.3," (adjusted for inflation, 2023 dollars)",$2.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2014,2286.2," (adjusted for inflation, 2023 dollars)",$2.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2015,1857.6," (adjusted for inflation, 2023 dollars)",$1.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2016,1435.6," (adjusted for inflation, 2023 dollars)",$1.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2017,1297.7," (adjusted for inflation, 2023 dollars)",$1.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2018,844.3," (adjusted for inflation, 2023 dollars)",,$844.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2019,758.8," (adjusted for inflation, 2023 dollars)",,$758.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2020,557.9," (adjusted for inflation, 2023 dollars)",,$557.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2021,658.7," (adjusted for inflation, 2023 dollars)",,$658.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2022,502.4," (adjusted for inflation, 2023 dollars)",,$502.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD,Value (Adjusted),2023,537.1," (adjusted for inflation, 2023 dollars)",,$537.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1988,25.2," (adjusted for inflation, 2023 dollars)",,$25.2M,$819.6B,,$819604.4B,0
