Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
,CD,Value,1983,17.2,,,$17.2M,$434.2B,,$434198.2B,0
,CD,Value,1984,103.3,,,$103.3M,$434.2B,,$434198.2B,0
,CD,Value,1985,389.5,,,$389.5M,$434.2B,,$434198.2B,0
,CD,Value,1986,930.1,,,$930.1M,$434.2B,,$434198.2B,0
,CD,Value,1987,1593.6,,$1.6B,,$434.2B,,$434198.2B,0
,CD,Value,1988,2089.9,,$2.1B,,$434.2B,,$434198.2B,0
,CD,Value,1989,2587.7,,$2.6B,,$434.2B,,$434198.2B,0
,CD,Value,1990,3451.6,,$3.5B,,$434.2B,,$434198.2B,0
,CD,Value,1991,4337.7,,$4.3B,,$434.2B,,$434198.2B,0
,CD,Value,1992,5326.5,,$5.3B,,$434.2B,,$434198.2B,0
,CD,Value,1993,6511.4,,$6.5B,,$434.2B,,$434198.2B,0
,CD,Value,1994,8464.5,,$8.5B,,$434.2B,,$434198.2B,0
,CD,Value,1995,9377.4,,$9.4B,,$434.2B,,$434198.2B,0
,CD,Value,1996,9934.7,,$9.9B,,$434.2B,,$434198.2B,0
,CD,Value,1997,9915.1,,$9.9B,,$434.2B,,$434198.2B,0
,CD,Value,1998,11416,,$11.4B,,$434.2B,,$434198.2B,0
,CD,Value,1999,12816.3,,$12.8B,,$434.2B,,$434198.2B,0
,CD,Value,2000,13214.5,,$13.2B,,$434.2B,,$434198.2B,0
,CD,Value,2001,12909.4,,$12.9B,,$434.2B,,$434198.2B,0
,CD,Value,2002,12044.1,,$12.0B,,$434.2B,,$434198.2B,0
,CD,Value,2003,11232.9,,$11.2B,,$434.2B,,$434198.2B,0
,CD,Value,2004,11446.5,,$11.4B,,$434.2B,,$434198.2B,0
,CD,Value,2005,10520.2,,$10.5B,,$434.2B,,$434198.2B,0
,CD,Value,2006,9372.6,,$9.4B,,$434.2B,,$434198.2B,0
,CD,Value,2007,7452.3,,$7.5B,,$434.2B,,$434198.2B,0
,CD,Value,2008,5471.3,,$5.5B,,$434.2B,,$434198.2B,0
,CD,Value,2009,4318.8,,$4.3B,,$434.2B,,$434198.2B,0
,CD,Value,2010,3389.4,,$3.4B,,$434.2B,,$434198.2B,0
,CD,Value,2011,3100.7,,$3.1B,,$434.2B,,$434198.2B,0
,CD,Value,2012,2485.6,,$2.5B,,$434.2B,,$434198.2B,0
,CD,Value,2013,2140.9,,$2.1B,,$434.2B,,$434198.2B,0
,CD,Value,2014,1776.2,,$1.8B,,$434.2B,,$434198.2B,0
,CD,Value,2015,1445,,$1.4B,,$434.2B,,$434198.2B,0
,CD,Value,2016,1130.8,,$1.1B,,$434.2B,,$434198.2B,0
,CD,Value,2017,1043.9,,$1.0B,,$434.2B,,$434198.2B,0
,CD,Value,2018,695.8,,,$695.8M,$434.2B,,$434198.2B,0
,CD,Value,2019,636.7,,,$636.7M,$434.2B,,$434198.2B,0
,CD,Value,2020,473.9,,,$473.9M,$434.2B,,$434198.2B,0
,CD,Value,2021,585.8,,,$585.8M,$434.2B,,$434198.2B,0
,CD,Value,2022,482.6,,,$482.6M,$434.2B,,$434198.2B,0
,CD,Value,2023,537.1,,,$537.1M,$434.2B,,$434198.2B,0
,CD Single,Value,1988,9.8,,,$9.8M,$434.2B,,$434198.2B,0
,CD Single,Value,1989,-0.7,,,-$0.7M,$434.2B,,$434198.2B,0
,CD Single,Value,1990,6,,,$6.0M,$434.2B,,$434198.2B,0
,CD Single,Value,1991,35.1,,,$35.1M,$434.2B,,$434198.2B,0
,CD Single,Value,1992,45.1,,,$45.1M,$434.2B,,$434198.2B,0
,CD Single,Value,1993,45.8,,,$45.8M,$434.2B,,$434198.2B,0
,CD Single,Value,1994,56.1,,,$56.1M,$434.2B,,$434198.2B,0
,CD Single,Value,1995,110.9,,,$110.9M,$434.2B,,$434198.2B,0
,CD Single,Value,1996,184.1,,,$184.1M,$434.2B,,$434198.2B,0
,CD Single,Value,1997,272.7,,,$272.7M,$434.2B,,$434198.2B,0
,CD Single,Value,1998,213.2,,,$213.2M,$434.2B,,$434198.2B,0
,CD Single,Value,1999,222.4,,,$222.4M,$434.2B,,$434198.2B,0
,CD Single,Value,2000,142.7,,,$142.7M,$434.2B,,$434198.2B,0
,CD Single,Value,2001,79.4,,,$79.4M,$434.2B,,$434198.2B,0
,CD Single,Value,2002,19.6,,,$19.6M,$434.2B,,$434198.2B,0
,CD Single,Value,2003,36,,,$36.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1973,489,,,$489.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1974,549.2,,,$549.2M,$434.2B,,$434198.2B,0
,8 - Track,Value,1975,583,,,$583.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1976,678.2,,,$678.2M,$434.2B,,$434198.2B,0
,8 - Track,Value,1977,811,,,$811.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1978,948,,,$948.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1979,684.3,,,$684.3M,$434.2B,,$434198.2B,0
,8 - Track,Value,1980,527,,,$527.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1981,313,,,$313.0M,$434.2B,,$434198.2B,0
,8 - Track,Value,1982,36,,,$36.0M,$434.2B,,$434198.2B,0
,CD Single,Value,2004,15,,,$15.0M,$434.2B,,$434198.2B,0
,CD Single,Value,2005,10.9,,,$10.9M,$434.2B,,$434198.2B,0
,CD Single,Value,2006,7.7,,,$7.7M,$434.2B,,$434198.2B,0
,CD Single,Value,2007,12.2,,,$12.2M,$434.2B,,$434198.2B,0
,CD Single,Value,2008,3.5,,,$3.5M,$434.2B,,$434198.2B,0
,CD Single,Value,2009,3.1,,,$3.1M,$434.2B,,$434198.2B,0
,CD Single,Value,2010,2.9,,,$2.9M,$434.2B,,$434198.2B,0
,CD Single,Value,2011,3.5,,,$3.5M,$434.2B,,$434198.2B,0
,CD Single,Value,2012,3.2,,,$3.2M,$434.2B,,$434198.2B,0
,CD Single,Value,2013,2.4,,,$2.4M,$434.2B,,$434198.2B,0
,CD Single,Value,2014,3.6,,,$3.6M,$434.2B,,$434198.2B,0
,CD Single,Value,2015,1.2,,,$1.2M,$434.2B,,$434198.2B,0
,CD Single,Value,2016,0.3,,,$0.3M,$434.2B,,$434198.2B,0
,CD Single,Value,2017,0.2,,,$0.2M,$434.2B,,$434198.2B,0
,CD Single,Value,2018,0,,,$0.0,$434.2B,,$434198.2B,0
,CD Single,Value,2019,0.1,,,$0.1M,$434.2B,,$434198.2B,0
,CD Single,Value,2020,0.4,,,$0.4M,$434.2B,,$434198.2B,0
,CD Single,Value,2021,0.1,,,$0.1M,$434.2B,,$434198.2B,0
,CD Single,Value,2022,6.8,,,$6.8M,$434.2B,,$434198.2B,0
,Cassette,Value,1973,76,,,$76.0M,$434.2B,,$434198.2B,0
,Cassette,Value,1974,87.2,,,$87.2M,$434.2B,,$434198.2B,0
,Cassette,Value,1975,98.8,,,$98.8M,$434.2B,,$434198.2B,0
,Cassette,Value,1976,145.7,,,$145.7M,$434.2B,,$434198.2B,0
,Cassette,Value,1977,249.6,,,$249.6M,$434.2B,,$434198.2B,0
,Cassette,Value,1978,449.8,,,$449.8M,$434.2B,,$434198.2B,0
,Cassette,Value,1979,580.6,,,$580.6M,$434.2B,,$434198.2B,0
,Cassette,Value,1980,705,,,$705.0M,$434.2B,,$434198.2B,0
,Cassette,Value,1981,1062.8,,$1.1B,,$434.2B,,$434198.2B,0
,Cassette,Value,1982,1384.5,,$1.4B,,$434.2B,,$434198.2B,0
,Cassette,Value,1983,1810.9,,$1.8B,,$434.2B,,$434198.2B,0
,Cassette,Value,1984,2383.9,,$2.4B,,$434.2B,,$434198.2B,0
,Cassette,Value,1985,2411.5,,$2.4B,,$434.2B,,$434198.2B,0
,Cassette,Value,1986,2499.5,,$2.5B,,$434.2B,,$434198.2B,0
,Cassette,Value,1987,2959.7,,$3.0B,,$434.2B,,$434198.2B,0
,Cassette,Value,1988,3385.1,,$3.4B,,$434.2B,,$434198.2B,0
,Cassette,Value,1989,3345.8,,$3.3B,,$434.2B,,$434198.2B,0
,Cassette,Value,1990,3472.4,,$3.5B,,$434.2B,,$434198.2B,0
,Cassette,Value,1991,3019.6,,$3.0B,,$434.2B,,$434198.2B,0
,Cassette,Value,1992,3116.3,,$3.1B,,$434.2B,,$434198.2B,0
,Cassette,Value,1993,2915.8,,$2.9B,,$434.2B,,$434198.2B,0
,Cassette,Value,1994,2976.4,,$3.0B,,$434.2B,,$434198.2B,0
,Cassette,Value,1995,2303.6,,$2.3B,,$434.2B,,$434198.2B,0
,Cassette,Value,1996,1905.3,,$1.9B,,$434.2B,,$434198.2B,0
,Cassette,Value,1997,1522.7,,$1.5B,,$434.2B,,$434198.2B,0
,Cassette,Value,1998,1419.9,,$1.4B,,$434.2B,,$434198.2B,0
,Cassette,Value,1999,1061.6,,$1.1B,,$434.2B,,$434198.2B,0
,Cassette,Value,2000,626,,,$626.0M,$434.2B,,$434198.2B,0
,Cassette,Value,2001,363.4,,,$363.4M,$434.2B,,$434198.2B,0
,Cassette,Value,2002,209.8,,,$209.8M,$434.2B,,$434198.2B,0
,Cassette,Value,2003,108.1,,,$108.1M,$434.2B,,$434198.2B,0
,Cassette,Value,2004,23.7,,,$23.7M,$434.2B,,$434198.2B,0
,Cassette,Value,2005,13.1,,,$13.1M,$434.2B,,$434198.2B,0
,Cassette,Value,2006,3.7,,,$3.7M,$434.2B,,$434198.2B,0
,Cassette,Value,2007,3,,,$3.0M,$434.2B,,$434198.2B,0
,Cassette,Value,2008,0.9,,,$0.9M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1987,14.3,,,$14.3M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1988,57.3,,,$57.3M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1989,194.6,,,$194.6M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1990,257.9,,,$257.9M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1991,230.4,,,$230.4M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1992,298.8,,,$298.8M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1993,298.5,,,$298.5M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1994,274.9,,,$274.9M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1995,236.3,,,$236.3M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1996,189.3,,,$189.3M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1997,133.5,,,$133.5M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1998,94.4,,,$94.4M,$434.2B,,$434198.2B,0
,Cassette Single,Value,1999,48,,,$48.0M,$434.2B,,$434198.2B,0
,Cassette Single,Value,2000,4.6,,,$4.6M,$434.2B,,$434198.2B,0
,Cassette Single,Value,2001,-5.3,,,-$5.3M,$434.2B,,$434198.2B,0
,Cassette Single,Value,2002,-1.6,,,-$1.6M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2001,6,,,$6.0M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2002,8.5,,,$8.5M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2003,8,,,$8.0M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2004,6.5,,,$6.5M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2005,11.2,,,$11.2M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2006,2.4,,,$2.4M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2007,2.8,,,$2.8M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2008,1.2,,,$1.2M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2009,1.6,,,$1.6M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2010,0.9,,,$0.9M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2011,0.3,,,$0.3M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2012,0.2,,,$0.2M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2013,-0.5,,,-$0.5M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2014,2.1,,,$2.1M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2015,5.4,,,$5.4M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2016,2.8,,,$2.8M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2017,0.3,,,$0.3M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2018,0.3,,,$0.3M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2019,1.3,,,$1.3M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2020,1.8,,,$1.8M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2021,5.8,,,$5.8M,$434.2B,,$434198.2B,0
,DVD Audio,Value,2022,0.1,,,$0.1M,$434.2B,,$434198.2B,0
,Download Album,Value,2004,45.5,,,$45.5M,$434.2B,,$434198.2B,0
,Download Album,Value,2005,135.7,,,$135.7M,$434.2B,,$434198.2B,0
,Download Album,Value,2006,275.9,,,$275.9M,$434.2B,,$434198.2B,0
,Download Album,Value,2007,497.4,,,$497.4M,$434.2B,,$434198.2B,0
,Download Album,Value,2008,635.3,,,$635.3M,$434.2B,,$434198.2B,0
,Download Album,Value,2009,744.3,,,$744.3M,$434.2B,,$434198.2B,0
,Download Album,Value,2010,872.4,,,$872.4M,$434.2B,,$434198.2B,0
,Download Album,Value,2011,1070.8,,$1.1B,,$434.2B,,$434198.2B,0
,Download Album,Value,2012,1204.8,,$1.2B,,$434.2B,,$434198.2B,0
