"Source","Target","Weight"
"computational thinking","scratch",4
"facilitators","professional development",4
"mathematics education","professional development",4
"mathematics education","programming",4
"professional development","teacher education",4
"algebra","variables",3
"anthropological theory of the didactic","study and research paths",3
"computational literacy","computational thinking",3
"computational thinking","mathematics education",3
"computational thinking","programming",3
"lesson study","mathematics teaching",3
"accumulation","integral",2
"adaptation","fidelity",2
"adaptation","implementation",2
"algebra","letter-as-object misconception",2
"anthropological theory of the didactic","mathematical modelling",2
"anthropological theory of the didactic","statistics",2
"argumentation","calculus",2
"artificial intelligence","large language model",2
"artificial intelligence","mathematics education",2
"beliefs","professional development",2
"beliefs","teacher education",2
"block play","kindergarten",2
"border","interdisciplinarity",2
"boundary encounters","mathematicians",2
"calculus","integration",2
"collaboration","lesson study",2
"communities of practice","professional identity",2
"communities of practice","vocational education",2
"computational thinking","design research",2
"computational thinking","educational robots",2
"computational thinking","primary school",2
"computational thinking","simulation",2
"computational thinking","stem education",2
"didactic paradigm","epistemological model",2
"education for sustainable development","primary education",2
"education for sustainable development","sustainability",2
"educational robots","primary school",2
"educational robots","programming",2
"evaluation","stack",2
"facilitators","mathematics",2
"facilitators","primary school",2
"facilitators","professional learning",2
"fidelity","implementation",2
"functional thinking","functions",2
"geometry","primary school",2
"geometry","secondary school mathematics",2
"inclusion","visual impairments",2
"initial teacher education","lesson study",2
"interactions","positioning theory",2
"language","multilingualism",2
"language","primary education",2
"lesson study","whole-class discussion",2
"letter-as-object misconception","variables",2
"mathematical literacy","numeracy",2
"mathematical modelling","study and research paths",2
"mathematicians","secondary teacher education",2
"mathematics","preschool",2
"mathematics","primary school",2
"mathematics","professional development",2
"mathematics","programming",2
"mathematics education","perceived difficulty",2
"mathematics education","problem solving",2
"mathematics education","research methods",2
"mathematics education","sustainable development goals",2
"mathematics education","teacher noticing",2
"mathematics teacher educators","professional development",2
"mathematics teaching","whole-class discussion",2
"multilingualism","primary education",2
"noticing","professional development",2
"play-responsive teaching","preschool",2
"preservice teachers","programming",2
"preservice teachers","teacher education",2
"primary education","sustainability",2
"primary school","professional development",2
"primary school","programming",2
"professional development","task design",2
"statistics education","teacher education",2
"teacher noticing","video case",2
"(pre-)structuralist praxeologies","calculus",1
"(pre-)structuralist praxeologies","continuity",1
"(pre-)structuralist praxeologies","path-connectedness",1
"(pre-)structuralist praxeologies","real analysis",1
"20th century","curricula",1
"20th century","middle school",1
"20th century","primary education",1
"20th century","professional education",1
"3d design","3d printing",1
"3d design","curvature",1
"3d design","intrinsic geometry",1
"3d design","programming",1
"3d design and printing","low achievers",1
