Source,Target,Type,Id,Label,Weight
computational thinking,scratch,Undirected,0,,4
facilitators,professional development,Undirected,1,,4
mathematics education,professional development,Undirected,2,,4
mathematics education,programming,Undirected,3,,4
professional development,teacher education,Undirected,4,,4
algebra,variables,Undirected,5,,3
anthropological theory of the didactic,study and research paths,Undirected,6,,3
computational literacy,computational thinking,Undirected,7,,3
computational thinking,mathematics education,Undirected,8,,3
computational thinking,programming,Undirected,9,,3
lesson study,mathematics teaching,Undirected,10,,3
adaptation,fidelity,Undirected,12,,2
adaptation,implementation,Undirected,13,,2
algebra,letter-as-object misconception,Undirected,14,,2
anthropological theory of the didactic,mathematical modelling,Undirected,15,,2
anthropological theory of the didactic,statistics,Undirected,16,,2
argumentation,calculus,Undirected,17,,2
artificial intelligence,large language model,Undirected,18,,2
artificial intelligence,mathematics education,Undirected,19,,2
beliefs,professional development,Undirected,20,,2
beliefs,teacher education,Undirected,21,,2
block play,kindergarten,Undirected,22,,2
border,interdisciplinarity,Undirected,23,,2
boundary encounters,mathematicians,Undirected,24,,2
calculus,integration,Undirected,25,,2
collaboration,lesson study,Undirected,26,,2
communities of practice,professional identity,Undirected,27,,2
communities of practice,vocational education,Undirected,28,,2
computational thinking,design research,Undirected,29,,2
computational thinking,educational robots,Undirected,30,,2
computational thinking,primary school,Undirected,31,,2
computational thinking,simulation,Undirected,32,,2
computational thinking,stem education,Undirected,33,,2
didactic paradigm,epistemological model,Undirected,34,,2
education for sustainable development,primary education,Undirected,35,,2
education for sustainable development,sustainability,Undirected,36,,2
educational robots,primary school,Undirected,37,,2
educational robots,programming,Undirected,38,,2
evaluation,stack,Undirected,39,,2
facilitators,mathematics,Undirected,40,,2
facilitators,primary school,Undirected,41,,2
facilitators,professional learning,Undirected,42,,2
fidelity,implementation,Undirected,43,,2
functional thinking,functions,Undirected,44,,2
geometry,primary school,Undirected,45,,2
geometry,secondary school mathematics,Undirected,46,,2
inclusion,visual impairments,Undirected,47,,2
initial teacher education,lesson study,Undirected,48,,2
interactions,positioning theory,Undirected,49,,2
language,multilingualism,Undirected,50,,2
language,primary education,Undirected,51,,2
lesson study,whole-class discussion,Undirected,52,,2
letter-as-object misconception,variables,Undirected,53,,2
mathematical literacy,numeracy,Undirected,54,,2
mathematical modelling,study and research paths,Undirected,55,,2
mathematicians,secondary teacher education,Undirected,56,,2
mathematics,preschool,Undirected,57,,2
mathematics,primary school,Undirected,58,,2
mathematics,professional development,Undirected,59,,2
mathematics,programming,Undirected,60,,2
mathematics education,perceived difficulty,Undirected,61,,2
mathematics education,problem solving,Undirected,62,,2
mathematics education,research methods,Undirected,63,,2
mathematics education,sustainable development goals,Undirected,64,,2
mathematics education,teacher noticing,Undirected,65,,2
mathematics teacher educators,professional development,Undirected,66,,2
mathematics teaching,whole-class discussion,Undirected,67,,2
multilingualism,primary education,Undirected,68,,2
noticing,professional development,Undirected,69,,2
play-responsive teaching,preschool,Undirected,70,,2
preservice teachers,programming,Undirected,71,,2
preservice teachers,teacher education,Undirected,72,,2
primary education,sustainability,Undirected,73,,2
primary school,professional development,Undirected,74,,2
primary school,programming,Undirected,75,,2
professional development,task design,Undirected,76,,2
statistics education,teacher education,Undirected,77,,2
teacher noticing,video case,Undirected,78,,2
(pre-)structuralist praxeologies,calculus,Undirected,79,,1
(pre-)structuralist praxeologies,continuity,Undirected,80,,1
(pre-)structuralist praxeologies,path-connectedness,Undirected,81,,1
(pre-)structuralist praxeologies,real analysis,Undirected,82,,1
20th century,curricula,Undirected,83,,1
20th century,middle school,Undirected,84,,1
20th century,primary education,Undirected,85,,1
20th century,professional education,Undirected,86,,1
3d design,3d printing,Undirected,87,,1
3d design,curvature,Undirected,88,,1
3d design,intrinsic geometry,Undirected,89,,1
3d design,programming,Undirected,90,,1
3d design and printing,low achievers,Undirected,91,,1
3d design and printing,mathematical modelling,Undirected,92,,1
3d design and printing,opportunities to learn,Undirected,93,,1
3d printing,curvature,Undirected,96,,1
3d printing,intrinsic geometry,Undirected,97,,1
3d printing,programming,Undirected,98,,1
