Source,Target,Type,Id,Label,Weight,Color
computational thinking,scratch,Undirected,0,,4,"#000000"
facilitators,professional development,Undirected,1,,4,"#000000"
mathematics education,professional development,Undirected,2,,4,"#000000"
mathematics education,programming,Undirected,3,,4,"#000000"
professional development,teacher education,Undirected,4,,4,"#000000"
algebra,variables,Undirected,5,,3,"#000000"
anthropological theory of the didactic,study and research paths,Undirected,6,,3,"#000000"
computational literacy,computational thinking,Undirected,7,,3,"#000000"
computational thinking,mathematics education,Undirected,8,,3,"#000000"
computational thinking,programming,Undirected,9,,3,"#000000"
lesson study,mathematics teaching,Undirected,10,,3,"#000000"
adaptation,fidelity,Undirected,12,,2,"#000000"
adaptation,implementation,Undirected,13,,2,"#000000"
algebra,letter-as-object misconception,Undirected,14,,2,"#000000"
anthropological theory of the didactic,mathematical modelling,Undirected,15,,2,"#000000"
anthropological theory of the didactic,statistics,Undirected,16,,2,"#000000"
argumentation,calculus,Undirected,17,,2,"#000000"
artificial intelligence,large language model,Undirected,18,,2,"#000000"
artificial intelligence,mathematics education,Undirected,19,,2,"#000000"
beliefs,professional development,Undirected,20,,2,"#000000"
beliefs,teacher education,Undirected,21,,2,"#000000"
block play,kindergarten,Undirected,22,,2,"#000000"
border,interdisciplinarity,Undirected,23,,2,"#000000"
boundary encounters,mathematicians,Undirected,24,,2,"#000000"
calculus,integration,Undirected,25,,2,"#000000"
collaboration,lesson study,Undirected,26,,2,"#000000"
communities of practice,professional identity,Undirected,27,,2,"#000000"
communities of practice,vocational education,Undirected,28,,2,"#000000"
computational thinking,design research,Undirected,29,,2,"#000000"
computational thinking,educational robots,Undirected,30,,2,"#000000"
computational thinking,primary school,Undirected,31,,2,"#000000"
computational thinking,simulation,Undirected,32,,2,"#000000"
computational thinking,stem education,Undirected,33,,2,"#000000"
education for sustainable development,primary education,Undirected,35,,2,"#000000"
education for sustainable development,sustainability,Undirected,36,,2,"#000000"
educational robots,primary school,Undirected,37,,2,"#000000"
educational robots,programming,Undirected,38,,2,"#000000"
evaluation,stack,Undirected,39,,2,"#000000"
facilitators,mathematics,Undirected,40,,2,"#000000"
facilitators,primary school,Undirected,41,,2,"#000000"
facilitators,professional learning,Undirected,42,,2,"#000000"
fidelity,implementation,Undirected,43,,2,"#000000"
functional thinking,functions,Undirected,44,,2,"#000000"
geometry,primary school,Undirected,45,,2,"#000000"
geometry,secondary school mathematics,Undirected,46,,2,"#000000"
inclusion,visual impairments,Undirected,47,,2,"#000000"
initial teacher education,lesson study,Undirected,48,,2,"#000000"
interactions,positioning theory,Undirected,49,,2,"#000000"
language,multilingualism,Undirected,50,,2,"#000000"
language,primary education,Undirected,51,,2,"#000000"
lesson study,whole-class discussion,Undirected,52,,2,"#000000"
letter-as-object misconception,variables,Undirected,53,,2,"#000000"
mathematical literacy,numeracy,Undirected,54,,2,"#000000"
mathematical modelling,study and research paths,Undirected,55,,2,"#000000"
mathematicians,secondary teacher education,Undirected,56,,2,"#000000"
mathematics,preschool,Undirected,57,,2,"#000000"
