Id,Label,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,X,Y,Z,Size,Color
computational thinking,computational thinking,45,59,2,5,0.359633,0.396231,56661.149056,0.19066,0.19066,0.00499,0,0.375994,0.59686,0.468432,0.453125,"#4269d0"
scratch,scratch,15,18,2,6,0.291056,0.314626,2504.145146,0.052963,0.052963,0.001683,0,0.441204,0.912807,0.737124,0.132812,"#4269d0"
facilitators,facilitators,9,15,1,6,0.293754,0.314688,1203.554131,0.055834,0.055834,0.001081,0,0.711931,0.414725,0.877523,0.109375,"#efb118"
professional development,professional development,61,76,1,6,0.353519,0.396431,64873.678169,0.228417,0.228417,0.00714,0,0.752595,0.509712,0.40311,0.585938,"#efb118"
mathematics education,mathematics education,115,129,2,5,0.405669,0.457563,240545.715885,0.417972,0.417971,0.013147,0,0.391728,0.831515,0,1,"#4269d0"
programming,programming,36,45,2,6,0.334506,0.36877,29228.363114,0.141152,0.141152,0.004143,0,0.52098,0.792095,0.496149,0.34375,"#4269d0"
teacher education,teacher education,82,88,1,6,0.366667,0.415778,123034.129437,0.264441,0.264441,0.00925,0,0.698038,0.501333,0.141896,0.679688,"#efb118"
algebra,algebra,33,36,2,6,0.3208,0.35129,29871.502219,0.080994,0.080995,0.003955,0,0.477499,0.833611,0.5634,0.273438,"#4269d0"
variables,variables,7,10,2,7,0.257248,0.273369,239.879748,0.011665,0.011665,0.000908,0,0.442894,0.866034,0.884605,0.070312,"#4269d0"
anthropological theory of the didactic,anthropological theory of the didactic,22,26,3,6,0.290738,0.31589,13318.749005,0.030434,0.030434,0.002625,0,0.426383,0.100305,0.658051,0.195312,"#ff725c"
study and research paths,study and research paths,20,23,3,6,0.297231,0.322239,12973.338706,0.031742,0.031742,0.002276,0,0.484198,0.069587,0.708558,0.171875,"#ff725c"
computational literacy,computational literacy,8,10,2,6,0.291247,0.31003,1374.310051,0.043992,0.043992,0.001001,0,0.45048,0.879034,0.866243,0.070312,"#4269d0"
lesson study,lesson study,49,54,1,5,0.332833,0.372389,49103.352286,0.138832,0.138831,0.00568,0,0.737476,0.360206,0.338364,0.414062,"#efb118"
mathematics teaching,mathematics teaching,25,28,1,6,0.319952,0.349612,14259.718077,0.098624,0.098624,0.002921,0,0.648217,0.428895,0.652425,0.210938,"#efb118"
adaptation,adaptation,4,6,5,7,0.235993,0.248379,0,0.004865,0.004865,0.00057,0,0.679541,0.061123,0.918265,0.039062,"#97bbf5"
fidelity,fidelity,4,6,5,7,0.235993,0.248379,0,0.004865,0.004865,0.00057,0,0.69249,0.061123,0.916194,0.039062,"#97bbf5"
implementation,implementation,16,18,5,6,0.294991,0.317769,15291.936851,0.038323,0.038324,0.002148,0,0.659477,0.1412,0.724253,0.132812,"#97bbf5"
letter-as-object misconception,letter-as-object misconception,5,7,2,7,0.254932,0.269475,41.684017,0.010534,0.010534,0.000669,0,0.648205,0.780264,0.909808,0.046875,"#4269d0"
mathematical modelling,mathematical modelling,44,46,3,5,0.332418,0.367343,62695.885281,0.083027,0.083027,0.005226,0,0.553696,0.130384,0.317967,0.351562,"#ff725c"
statistics,statistics,12,13,3,6,0.292399,0.314137,6581.633697,0.039246,0.039246,0.001403,0,0.471,0.13648,0.830247,0.09375,"#ff725c"
argumentation,argumentation,30,31,6,6,0.286792,0.313999,25504.616192,0.018303,0.018303,0.003702,0,0.138221,0.268622,0.586241,0.234375,"#3ca951"
calculus,calculus,26,28,0,6,0.275,0.301352,26488.125852,0.010841,0.010841,0.003181,0,0.325966,0.347426,0.631564,0.210938,"#ff8ab7"
artificial intelligence,artificial intelligence,18,20,2,6,0.319491,0.345868,15093.661229,0.066693,0.066693,0.002094,0,0.438905,0.779821,0.701334,0.148438,"#4269d0"
large language model,large language model,5,6,2,6,0.265245,0.280954,261.551362,0.015204,0.015204,0.00069,0,0.578362,0.702511,0.906564,0.039062,"#4269d0"
beliefs,beliefs,23,25,1,6,0.309463,0.337102,21021.004058,0.064504,0.064504,0.002582,0,0.686528,0.449108,0.635822,0.1875,"#efb118"
block play,block play,6,7,0,8,0.186755,0.196454,120.150294,0.000297,0.000297,0.000884,0,0.260141,0.421808,0.900211,0.046875,"#ff8ab7"
kindergarten,kindergarten,14,15,0,7,0.222911,0.238943,8082.06622,0.003003,0.003003,0.001914,0,0.301895,0.420709,0.783802,0.109375,"#ff8ab7"
border,border,8,9,2,6,0.265404,0.283571,464.363719,0.021643,0.021643,0.000968,0,0.40433,0.882545,0.849725,0.0625,"#4269d0"
interdisciplinarity,interdisciplinarity,14,15,2,6,0.276485,0.299336,5999.510739,0.026736,0.026736,0.001704,0,0.397985,0.751833,0.778882,0.109375,"#4269d0"
boundary encounters,boundary encounters,4,5,1,7,0.215896,0.225935,29.18156,0.001259,0.001259,0.000583,0,0.619251,0.507479,0.916884,0.03125,"#efb118"
mathematicians,mathematicians,8,10,1,6,0.234496,0.24876,1999.380982,0.002564,0.002564,0.001077,0,0.715155,0.380173,0.865346,0.070312,"#efb118"
integration,integration,10,11,0,6,0.27415,0.292362,3921.840005,0.012108,0.012108,0.001232,0,0.309116,0.438613,0.808539,0.078125,"#ff8ab7"
collaboration,collaboration,20,21,2,6,0.307817,0.332269,13034.672109,0.05292,0.05292,0.002416,0,0.449764,0.728963,0.686438,0.15625,"#4269d0"
communities of practice,communities of practice,12,14,4,6,0.269106,0.288029,7055.794035,0.010796,0.010796,0.001448,0,0.855371,0.723781,0.790692,0.101562,"#6cc5b0"
professional identity,professional identity,6,7,4,6,0.26393,0.279364,944.208733,0.009246,0.009246,0.00074,0,0.853622,0.610023,0.892336,0.046875,"#6cc5b0"
vocational education,vocational education,11,12,4,6,0.24521,0.261771,4943.254403,0.004816,0.004816,0.001375,0,0.896498,0.690326,0.793413,0.085938,"#6cc5b0"
design research,design research,27,28,2,5,0.325667,0.355409,29596.267042,0.096847,0.096847,0.003151,0,0.519294,0.73299,0.615862,0.210938,"#4269d0"
educational robots,educational robots,5,8,2,6,0.288345,0.306486,6.04924,0.044247,0.044247,0.000593,0,0.369295,0.645665,0.909759,0.054688,"#4269d0"
primary school,primary school,41,48,2,5,0.361292,0.395292,53236.46283,0.19075,0.19075,0.004459,0,0.423294,0.742168,0.37498,0.367188,"#4269d0"
simulation,simulation,6,7,2,6,0.305345,0.326046,427.629644,0.05186,0.05186,0.000707,0,0.627948,0.791835,0.884311,0.046875,"#4269d0"
stem education,stem education,25,26,2,5,0.308387,0.335011,20668.361379,0.060517,0.060517,0.003076,0,0.44787,0.75951,0.569861,0.195312,"#4269d0"
education for sustainable development,education for sustainable development,9,11,4,6,0.315403,0.339093,3177.268888,0.071923,0.071923,0.001008,0,0.86626,0.755736,0.855267,0.078125,"#6cc5b0"
primary education,primary education,22,26,4,5,0.318193,0.342775,25019.315708,0.056917,0.056917,0.00249,0,0.875677,0.719635,0.606167,0.195312,"#6cc5b0"
