Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,X,Y,Size,Color
Per Nilsson,Per Nilsson,1,0.142857,4,0.4,0.520833,0,0,0,0.040142,0,1,0.25972,0.845358,0.334294,"#efb118"
Burcu Nur Baştürk Şahin,Burcu Nur Baştürk Şahin,2,0.233766,3,0.571429,0.708333,3,0,0,0.073447,0,1,0.34759,0.888902,0.547027,"#efb118"
James Gray,James Gray,3,0.392857,2,0.8,0.875,0,0.482044,0.482044,0.062247,1,0,0.65492,0.466329,0.919308,"#4269d0"
Caterina Papa,Caterina Papa,4,0.42734,1,1,1,3,0.523563,0.523563,0.084793,1,0,0.536639,0.54496,1,"#4269d0"
Patrick Ebers,Patrick Ebers,3,0.361111,2,0.8,0.875,0,0.482044,0.482044,0.062247,1,0,0.550709,0.399193,0.845021,"#4269d0"
Cristina Poli,Cristina Poli,3,0.361111,2,0.8,0.875,0,0.482044,0.482044,0.062247,1,0,0.645441,0.609046,0.845021,"#4269d0"
Francesco Contel,Francesco Contel,2,0.143541,2,0.666667,0.75,4,0,0,0.07133,0,1,0.44168,0.931551,0.335893,"#efb118"
Kevin Larkin,Kevin Larkin,1,0.052632,4,0.4,0.520833,0,0,0,0.040142,0,1,0.62694,1,0.123161,"#efb118"
Marcus Gustafsson,Marcus Gustafsson,2,0.105263,3,0.571429,0.708333,3,0,0,0.073447,0,1,0.538695,0.971712,0.246322,"#efb118"
Sara Gagliani Caputo,Sara Gagliani Caputo,1,0.04,1,1,1,0,0,0,0.059701,2,2,1,0.394364,0.093602,"#6cc5b0"
Jana Višňovská,Jana Višňovská,1,0.04,1,1,1,0,0,0,0.059701,2,2,0.972839,0.286266,0.093602,"#6cc5b0"
Marzia Garzetti,Marzia Garzetti,1,0.04,3,0.5,0.611111,0,0,0,0.041896,3,3,0.570498,0,0.093602,"#ff725c"
Lorenzo Pollani,Lorenzo Pollani,2,0.078462,2,0.75,0.833333,2,0,0,0.077507,3,3,0.475475,0.036533,0.183605,"#ff725c"
Yosep Dwi Kristanto,Yosep Dwi Kristanto,2,0.076923,2,0.75,0.833333,2,0,0,0.077507,3,3,0.365299,0.096538,0.180004,"#ff725c"
Annika Volt,Annika Volt,1,0.038462,3,0.5,0.611111,0,0,0,0.041896,3,3,0.269724,0.162098,0.090002,"#ff725c"
Dubravka Glasnović Gracin,Dubravka Glasnović Gracin,1,0.034483,2,0.571429,0.625,0,0.16965,0.16965,0.026974,1,0,0.970954,0.827343,0.080692,"#4269d0"
Nataly Pincheira,Nataly Pincheira,0,0,0,0,0,0,0,0,0.008955,4,4,0.211156,0.423196,0,"#3ca951"
Sylvia Patricia Van Borkulo,Sylvia Patricia Van Borkulo,0,0,0,0,0,0,0,0,0.008955,5,5,0.020127,0.322236,0,"#ff8ab7"
Magdalini Lada,Magdalini Lada,0,0,0,0,0,0,0,0,0.008955,6,6,0,0.572516,0,"#a463f2"
Carlotta Soldano,Carlotta Soldano,0,0,0,0,0,0,0,0,0.008955,7,7,0.211031,0.594715,0,"#97bbf5"
Hyman Bass,Hyman Bass,0,0,0,0,0,0,0,0,0.008955,8,8,0.007382,0.83233,0,"#9c6b4e"
